Unnamed: 0,Rank,Company,Symbol,Weight,Price,Change,% Change,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
0,1,Microsoft Corp,MSFT,0.0678,438.73,0.56,(0.13%),Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975
1,2,Apple Inc.,AAPL,0.0617,198.53,1.04,(0.53%),Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977
2,3,Nvidia Corp,NVDA,0.0598,116.65,-0.72,(-0.61%),Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993
3,4,Amazon.com Inc,AMZN,0.0377,193.06,0.98,(0.51%),Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994
4,5,"Meta Platforms, Inc. Class A",META,0.0273,592.49,-5.52,(-0.92%),Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004
5,6,Broadcom Inc.,AVGO,0.0203,208.2,0.43,(0.21%),Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,1730168,1961
6,7,Berkshire Hathaway Class B,BRK-B,0.0196,513.74,0.49,(0.10%),Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839
7,8,Alphabet Inc. Class A,GOOGL,0.0187,152.75,-1.53,(-0.99%),Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998
8,9,"Tesla, Inc.",TSLA,0.0166,298.26,13.44,(4.72%),"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020-12-21,1318605,2003
9,10,Alphabet Inc. Class C,GOOG,0.0153,154.38,-1.37,(-0.88%),Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998
10,11,Jpmorgan Chase & Co.,JPM,0.0147,253.08,-0.39,(-0.15%),JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000 (1799 / 1871)
11,12,Visa Inc.,V,0.0126,352.54,1.27,(0.36%),Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,1403161,1958
12,13,Eli Lilly & Co.,LLY,0.0123,734.57,-16.88,(-2.25%),Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876
13,14,Netflix Inc,NFLX,0.0102,1140.22,-4.21,(-0.37%),Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997
14,15,Mastercard Incorporated,MA,0.0096,568.64,1.52,(0.27%),Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,1141391,1966
15,16,Exxon Mobil Corporation,XOM,0.0096,107.31,1.24,(1.17%),ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999
16,17,Costco Wholesale Corp,COST,0.0093,1008.09,0.38,(0.04%),Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832,1976
